name;nationality;position;overall;age;real_team;device
Iniesta;Spain;LM|CM|CAM;82;36;Vissel Kobe;2
Emre Belözoglu;Turkey;CDM|CM;77;39;Fenerbahçe SK;2
Felipe;Brazil;CB;72;35;SPAL;2
Gianluigi Buffon;Italy;GK;83;42;Juventus;2
Maarten Stekelenburg;Netherlands;GK;72;37;Everton;2
Aaron Wilbraham;England;ST;61;40;Rochdale;2
Kevin Ellison;England;ST|LM;58;41;Morecambe;2
Tarantini;Portugal;CDM|CM;73;36;Rio Ave FC;2
Yuri;Brazil;ST;71;37;SD Ponferradina;2
Gareth Barry;England;CDM|CM;70;39;West Bromwich Albion;2
Chris Porter;England;ST;63;36;Crewe Alexandra;2
Matt Gilks;Scotland;GK;65;38;Fleetwood Town;2
Paul Green;Republic of Ireland;CM;64;37;Crewe Alexandra;2
Rúben Fernandes;Portugal;LB|CB;71;34;Gil Vicente FC;2
Nicolas Penneteau;France;GK;73;39;Sporting Charleroi;2
Luke Steele;England;GK;67;35;Millwall;2
Jabo Ibehre;England;ST;58;37;Cambridge United;2
Glenn Morris;England;GK;64;36;Crawley Town;2
Raphaël Nuzzolo;Switzerland;ST|CF;74;37;Neuchâtel Xamax FCS;2
Ricardo Costa;Portugal;CB;74;39;Boavista FC;2
Quaresma;Portugal;RM|LM;79;36;Kasimpasa SK;2
Cristiano Ronaldo;Portugal;ST|LW;93;35;Juventus;2
Pepe Reina;Spain;GK;80;37;Aston Villa;2
Roque Santa Cruz;Paraguay;ST;74;38;Club Olimpia;2
Kyle Beckerman;United States;CDM|CM;70;38;Real Salt Lake;2
Zlatan Ibrahimovic;Sweden;ST;85;38;Milan;2
Joaquín;Spain;ST|RM|LM;80;39;Real Betis;2
Morten Gamst Pedersen;Norway;CM;68;38;Tromsø IL;2
Silvio Proto;Belgium;GK;75;37;Lazio;2
Fabricio Coloccini;Argentina;CB;74;38;San Lorenzo de Almagro;2
Allan McGregor;Scotland;GK;74;38;Rangers FC;2
Olivier Deschacht;Belgium;LB|CB;71;39;SV Zulte Waregem;2
Ludovic Butelle;France;GK;73;37;Angers SCO;2
Igor de Camargo;Belgium;ST;71;37;KV Mechelen;2
Jermain Defoe;England;ST;76;37;Rangers FC;2
Peter Clarke;England;CB;64;38;Tranmere Rovers;2
Don Cowie;Scotland;RM|CM;62;37;Ross County FC;2
Håkon Opdal;Norway;GK;65;38;SK Brann;2
Chris Brunt;Northern Ireland;CDM|CM;69;35;West Bromwich Albion;2
Eldin Jakupovic;Switzerland;GK;66;35;Leicester City;2
Mijat Maric;Switzerland;CB;67;36;FC Lugano;2
Joe Murphy;Republic of Ireland;GK;62;38;Shrewsbury;2
Emmanuel Adebayor;Togo;ST;74;36;Club Olimpia;2
Craig Gordon;Scotland;GK;71;37;Celtic;2
Dannie Bulman;England;CDM|CM;61;41;Crawley Town;2
Adam Collin;England;GK;62;35;Carlisle United;2
Jay Bothroyd;England;ST;67;38;Hokkaido Consadole Sapporo;2
Jobi McAnuff;Jamaica;RM|LM;62;38;Leyton Orient;2
Lee Camp;Northern Ireland;GK;67;35;Birmingham City;2
Lee Grant;England;GK;71;37;Manchester United;2
Lee Holmes;England;RM|LM;64;33;Exeter City;2
Lewis Price;Wales;GK;62;36;Rotherham United;2
Matt Bloomfield;England;CM;64;36;Wycombe Wanderers;2
Phil Jagielka;England;CB;74;37;Sheffield United;2
Sam Russell;England;GK;59;37;Grimsby Town;2
