name;nationality;position;overall;age;real_team;device
Iniesta;Spain;LM|CM|CAM;82;36;Vissel Kobe;PC
Emre Belözoglu;Turkey;CDM|CM;77;39;Fenerbahçe SK;PC
Felipe;Brazil;CB;72;35;SPAL;PC
Gianluigi Buffon;Italy;GK;83;42;Juventus;PC
Maarten Stekelenburg;Netherlands;GK;72;37;Everton;PC
Aaron Wilbraham;England;ST;61;40;Rochdale;PC
Kevin Ellison;England;ST|LM;58;41;Morecambe;PC
Tarantini;Portugal;CDM|CM;73;36;Rio Ave FC;PC
Yuri;Brazil;ST;71;37;SD Ponferradina;PC
Gareth Barry;England;CDM|CM;70;39;West Bromwich Albion;PC
Chris Porter;England;ST;63;36;Crewe Alexandra;PC
Matt Gilks;Scotland;GK;65;38;Fleetwood Town;PC
Paul Green;Republic of Ireland;CM;64;37;Crewe Alexandra;PC
Rúben Fernandes;Portugal;LB|CB;71;34;Gil Vicente FC;PC
Nicolas Penneteau;France;GK;73;39;Sporting Charleroi;PC
Luke Steele;England;GK;67;35;Millwall;PC
Jabo Ibehre;England;ST;58;37;Cambridge United;PC
Glenn Morris;England;GK;64;36;Crawley Town;PC
Raphaël Nuzzolo;Switzerland;ST|CF;74;37;Neuchâtel Xamax FCS;PC
Ricardo Costa;Portugal;CB;74;39;Boavista FC;PC
Quaresma;Portugal;RM|LM;79;36;Kasimpasa SK;PC
Cristiano Ronaldo;Portugal;ST|LW;93;35;Juventus;PC
Pepe Reina;Spain;GK;80;37;Aston Villa;PC
Roque Santa Cruz;Paraguay;ST;74;38;Club Olimpia;PC
Kyle Beckerman;United States;CDM|CM;70;38;Real Salt Lake;PC
Zlatan Ibrahimovic;Sweden;ST;85;38;Milan;PC
Joaquín;Spain;ST|RM|LM;80;39;Real Betis;PC
Morten Gamst Pedersen;Norway;CM;68;38;Tromsø IL;PC
Silvio Proto;Belgium;GK;75;37;Lazio;PC
Fabricio Coloccini;Argentina;CB;74;38;San Lorenzo de Almagro;PC
Allan McGregor;Scotland;GK;74;38;Rangers FC;PC
Olivier Deschacht;Belgium;LB|CB;71;39;SV Zulte Waregem;PC
Ludovic Butelle;France;GK;73;37;Angers SCO;PC
Igor de Camargo;Belgium;ST;71;37;KV Mechelen;PC
Jermain Defoe;England;ST;76;37;Rangers FC;PC
Peter Clarke;England;CB;64;38;Tranmere Rovers;PC
Don Cowie;Scotland;RM|CM;62;37;Ross County FC;PC
Håkon Opdal;Norway;GK;65;38;SK Brann;PC
Chris Brunt;Northern Ireland;CDM|CM;69;35;West Bromwich Albion;PC
Eldin Jakupovic;Switzerland;GK;66;35;Leicester City;PC
Mijat Maric;Switzerland;CB;67;36;FC Lugano;PC
Joe Murphy;Republic of Ireland;GK;62;38;Shrewsbury;PC
Emmanuel Adebayor;Togo;ST;74;36;Club Olimpia;PC
Craig Gordon;Scotland;GK;71;37;Celtic;PC
Dannie Bulman;England;CDM|CM;61;41;Crawley Town;PC
Adam Collin;England;GK;62;35;Carlisle United;PC
Jay Bothroyd;England;ST;67;38;Hokkaido Consadole Sapporo;PC
Jobi McAnuff;Jamaica;RM|LM;62;38;Leyton Orient;PC
Lee Camp;Northern Ireland;GK;67;35;Birmingham City;PC
Lee Grant;England;GK;71;37;Manchester United;PC
Lee Holmes;England;RM|LM;64;33;Exeter City;PC
Lewis Price;Wales;GK;62;36;Rotherham United;PC
Matt Bloomfield;England;CM;64;36;Wycombe Wanderers;PC
Phil Jagielka;England;CB;74;37;Sheffield United;PC
Sam Russell;England;GK;59;37;Grimsby Town;PC
Stewart Downing;England;CDM|RM|LM;70;36;Blackburn Rovers;PC
Tom Huddlestone;England;CDM;71;33;Derby County;PC
Tommaso Berni;Italy;GK;64;37;Inter;PC
Wayne Rooney;England;ST|CM|CAM;80;34;Derby County;PC
Wayne Routledge;England;RM|LM;69;35;Swansea City;PC
Michael Ratajczak;Germany;GK;63;38;Hannover 96;PC
Daniel Haas;Germany;GK;62;36;FC Erzgebirge Aue;PC
Simone Padoin;Italy;LB|LM|CM;70;36;Ascoli;PC
Claudio Terzi;Italy;CB;69;36;La Spezia;PC
Craig Woodman;England;LB|LWB|LW;62;37;Exeter City;PC
Kyriakos Stamatopoulos;Canada;GK;57;40;AIK;PC
Rune Almenning Jarstein;Norway;GK;81;35;Hertha BSC;PC
Chris Burke;Scotland;RM|RW;69;36;Kilmarnock;PC
Christian Grindheim;Norway;CM|CAM;67;37;FK Haugesund;PC
Barry Roche;Republic of Ireland;GK;62;38;Morecambe;PC
Michael Gurski;Germany;GK;59;41;SpVgg Unterhaching;PC
Jean-François Gillet;Belgium;GK;68;41;Standard de Liège;PC
Artur Boruc;Poland;GK;72;40;AFC Bournemouth;PC
Gianluca Pegolo;Italy;GK;70;39;Sassuolo;PC
Michael Langer;Austria;GK;65;35;FC Schalke 04;PC
Yohann Pelé;France;GK;73;37;Olympique de Marseille;PC
Reto Ziegler;Switzerland;LB|CB;70;34;FC Dallas;PC
Stephan Lichtsteiner;Switzerland;RWB|RB|CB|RW;72;36;FC Augsburg;PC
Pascal Grünwald;Austria;GK;63;37;WSG Swarovski Tirol;PC
Bram Castro;Belgium;GK;68;37;KV Mechelen;PC
Jonatan Soriano;Spain;ST;74;34;Girona FC;PC
Maximiliano Rodríguez;Argentina;ST|LM|LW;74;39;Newell's Old Boys;PC
Alan Mannus;Northern Ireland;GK;66;38;Shamrock Rovers;PC
Cifuentes;Spain;GK;73;41;Cádiz CF;PC
Moyá;Spain;GK;79;36;Real Sociedad;PC
Xisco Campos;Spain;RB|CB;68;38;RCD Mallorca;PC
Mario Álvarez;Spain;CB;74;38;Club Atlético de San Luis;PC
Riesgo;Spain;GK;73;36;Girona FC;PC
Luke McCormick;England;GK;60;36;Swindon Town;PC
Liam Feeney;England;RWB|RM|RW;64;33;Blackpool;PC
Renaud Cohade;France;CM;73;35;Football Club de Metz;PC
Mauricio Pinilla;Chile;ST;72;36;Coquimbo Unido;PC
Nino;Spain;ST|CAM|CF;70;40;Elche CF;PC
Marco Wölfli;Switzerland;GK;66;37;BSC Young Boys;PC
Diego Benaglio;Switzerland;GK;74;36;AS Monaco Football Club SA;PC
Rubén Castro;Spain;ST;72;39;UD Las Palmas;PC
Rod Fanni;France;CB;72;38;Impact Montréal;PC
David Martin;England;GK;66;34;West Ham United;PC
Ian Henderson;England;ST;67;35;Rochdale;PC
Andy Lonergan;England;GK;65;36;Liverpool;PC
Christoffer Källqvist;Sweden;GK;63;36;BK Häcken;PC
Xavier Pinoteau;France;GK;61;37;FC Chambly Oise;PC
Pier Graziano Gori;Italy;GK;62;40;Benevento;PC
Michael Dawson;England;CB;70;36;Nottingham Forest;PC
Pepe;Portugal;CB;82;37;FC Porto;PC
Alexander Walke;Germany;GK;72;37;FC Red Bull Salzburg;PC
Michael Rensing;Germany;GK;70;36;Fortuna Düsseldorf;PC
Ronny König;Germany;ST;64;37;FSV Zwickau;PC
Steven Whittaker;Scotland;RB|CM;63;36;Hibernian;PC
Philipp Heerwagen;Germany;GK;63;37;SV Sandhausen;PC
Arouna Koné;Ivory Coast;ST;72;36;Sivasspor;PC
Michael Agazzi;Italy;GK;67;36;Cremona;PC
Hugo Campagnaro;Argentina;CB;69;40;Pescara;PC
Ali Turan;Turkey;CB;71;36;Konyaspor;PC
Burak Yilmaz;Turkey;ST;79;35;Besiktas JK;PC
Özgür Çek;Turkey;LB|LM;70;29;Denizlispor;PC
Selçuk Inan;Turkey;CDM|CM;72;35;Galatasaray SK;PC
Mehmet Topal;Turkey;CB|CDM;74;34;Medipol Basaksehir FK;PC
Ersan Gülüm;Turkey;CB;65;33;Antalyaspor;PC
Stephan Andersen;Denmark;GK;65;38;FC København;PC
Hasan Ali Kaldirim;Turkey;LB;74;30;Fenerbahçe SK;PC
Umut Bulut;Turkey;ST|LM;69;37;Yeni Malatyaspor;PC
Abdullah Durak;Turkey;CDM;66;33;Çaykur Rizespor;PC
Ufuk Ceylan;Turkey;GK;66;34;Yeni Malatyaspor;PC
Paul McShane;Republic of Ireland;CB;66;34;Rochdale;PC
Jesper Hansen;Denmark;GK;75;35;FC Midtjylland;PC
Emil Hallfre?sson;Iceland;CDM|CM;71;36;Free Agents;PC
Atiba Hutchinson;Canada;CDM|CM;76;37;Besiktas JK;PC
Jimmy Briand;France;ST;75;34;FC Girondins de Bordeaux;PC
Scott Brown;Scotland;CDM;75;35;Celtic;PC
Kirk Broadfoot;Scotland;CB;65;35;Kilmarnock;PC
Anders Lindegaard;Denmark;GK;67;36;Helsingborgs IF;PC
Michael Liendl;Austria;CM|CAM;74;34;Wolfsberger AC;PC
Gomes;Brazil;GK;75;39;Watford;PC
Fernandinho;Brazil;CB|CDM;85;35;Manchester City;PC
Gabriel Tama?;Romania;RB|CB;71;36;Asocia?ia Fotbal Club Astra Giurgiu;PC
Niki Mäenpää;Finland;GK;69;35;Bristol City;PC
Laurent Walthert;Switzerland;GK;66;36;Neuchâtel Xamax FCS;PC
Alexis;Spain;CB;69;34;Real Racing Club;PC
Simon Francis;England;RB|CB;74;35;AFC Bournemouth;PC
Wes Morgan;Jamaica;CB;74;36;Leicester City;PC
Jung Jo Gook;Korea Republic;ST;68;36;Jeju United FC;PC
Lee Dong Gook;Korea Republic;ST;69;41;Jeonbuk Hyundai Motors;PC
Kim Young Kwang;Korea Republic;GK;68;37;Seongnam FC;PC
Paul Jones;England;GK;61;34;Sheffield Wednesday;PC
Luis Jiménez;Chile;CAM|CF;73;36;CD Palestino;PC
Daniel Baier;Germany;CDM|CM;77;36;FC Augsburg;PC
Christophe Lepoint;Belgium;CB|CM|CAM;68;35;KV Kortrijk;PC
Giampaolo Pazzini;Italy;ST;71;35;Hellas Verona;PC
Daniele Gastaldello;Italy;CB;68;37;Brescia;PC
Alessandro Rosina;Italy;CAM|RW;68;36;Salerno;PC
Jürgen Gjasula;lbania;CB|CDM;66;34;1. FC Magdeburg;PC
