name;nationality;position;overall;age;real_team;device
Iniesta;Spain;LM|CM|CAM;82;36;Vissel Kobe;Playstation
Emre Belözoglu;Turkey;CDM|CM;77;39;Fenerbahçe SK;Playstation
Felipe;Brazil;CB;72;35;SPAL;Playstation
Gianluigi Buffon;Italy;GK;83;42;Juventus;Playstation
Maarten Stekelenburg;Netherlands;GK;72;37;Everton;Playstation
Aaron Wilbraham;England;ST;61;40;Rochdale;Playstation
Kevin Ellison;England;ST|LM;58;41;Morecambe;Playstation
Tarantini;Portugal;CDM|CM;73;36;Rio Ave FC;Playstation
Yuri;Brazil;ST;71;37;SD Ponferradina;Playstation
Gareth Barry;England;CDM|CM;70;39;West Bromwich Albion;Playstation
Chris Porter;England;ST;63;36;Crewe Alexandra;Playstation
Matt Gilks;Scotland;GK;65;38;Fleetwood Town;Playstation
Paul Green;Republic of Ireland;CM;64;37;Crewe Alexandra;Playstation
Rúben Fernandes;Portugal;LB|CB;71;34;Gil Vicente FC;Playstation
Nicolas Penneteau;France;GK;73;39;Sporting Charleroi;Playstation
Luke Steele;England;GK;67;35;Millwall;Playstation
Jabo Ibehre;England;ST;58;37;Cambridge United;Playstation
Glenn Morris;England;GK;64;36;Crawley Town;Playstation
Raphaël Nuzzolo;Switzerland;ST|CF;74;37;Neuchâtel Xamax FCS;Playstation
Ricardo Costa;Portugal;CB;74;39;Boavista FC;Playstation
Quaresma;Portugal;RM|LM;79;36;Kasimpasa SK;Playstation
Cristiano Ronaldo;Portugal;ST|LW;93;35;Juventus;Playstation
Pepe Reina;Spain;GK;80;37;Aston Villa;Playstation
Roque Santa Cruz;Paraguay;ST;74;38;Club Olimpia;Playstation
Kyle Beckerman;United States;CDM|CM;70;38;Real Salt Lake;Playstation
Zlatan Ibrahimovic;Sweden;ST;85;38;Milan;Playstation
Joaquín;Spain;ST|RM|LM;80;39;Real Betis;Playstation
Morten Gamst Pedersen;Norway;CM;68;38;Tromsø IL;Playstation
Silvio Proto;Belgium;GK;75;37;Lazio;Playstation
Fabricio Coloccini;Argentina;CB;74;38;San Lorenzo de Almagro;Playstation
Allan McGregor;Scotland;GK;74;38;Rangers FC;Playstation
Olivier Deschacht;Belgium;LB|CB;71;39;SV Zulte Waregem;Playstation
Ludovic Butelle;France;GK;73;37;Angers SCO;Playstation
Igor de Camargo;Belgium;ST;71;37;KV Mechelen;Playstation
Jermain Defoe;England;ST;76;37;Rangers FC;Playstation
Peter Clarke;England;CB;64;38;Tranmere Rovers;Playstation
Don Cowie;Scotland;RM|CM;62;37;Ross County FC;Playstation
Håkon Opdal;Norway;GK;65;38;SK Brann;Playstation
Chris Brunt;Northern Ireland;CDM|CM;69;35;West Bromwich Albion;Playstation
Eldin Jakupovic;Switzerland;GK;66;35;Leicester City;Playstation
Mijat Maric;Switzerland;CB;67;36;FC Lugano;Playstation
Joe Murphy;Republic of Ireland;GK;62;38;Shrewsbury;Playstation
Emmanuel Adebayor;Togo;ST;74;36;Club Olimpia;Playstation
Craig Gordon;Scotland;GK;71;37;Celtic;Playstation
Dannie Bulman;England;CDM|CM;61;41;Crawley Town;Playstation
Adam Collin;England;GK;62;35;Carlisle United;Playstation
Jay Bothroyd;England;ST;67;38;Hokkaido Consadole Sapporo;Playstation
Jobi McAnuff;Jamaica;RM|LM;62;38;Leyton Orient;Playstation
Lee Camp;Northern Ireland;GK;67;35;Birmingham City;Playstation
Lee Grant;England;GK;71;37;Manchester United;Playstation
Lee Holmes;England;RM|LM;64;33;Exeter City;Playstation
Lewis Price;Wales;GK;62;36;Rotherham United;Playstation
Matt Bloomfield;England;CM;64;36;Wycombe Wanderers;Playstation
Phil Jagielka;England;CB;74;37;Sheffield United;Playstation
Sam Russell;England;GK;59;37;Grimsby Town;Playstation
