name;nationality;position;overall;age;real_team;device
Iniesta;Spain;LM|CM|CAM;82;36;Vissel Kobe;3
Emre Belözoglu;Turkey;CDM|CM;77;39;Fenerbahçe SK;3
Felipe;Brazil;CB;72;35;SPAL;3
Gianluigi Buffon;Italy;GK;83;42;Juventus;3
Maarten Stekelenburg;Netherlands;GK;72;37;Everton;3
Aaron Wilbraham;England;ST;61;40;Rochdale;3
Kevin Ellison;England;ST|LM;58;41;Morecambe;3
Tarantini;Portugal;CDM|CM;73;36;Rio Ave FC;3
Yuri;Brazil;ST;71;37;SD Ponferradina;3
Gareth Barry;England;CDM|CM;70;39;West Bromwich Albion;3
Chris Porter;England;ST;63;36;Crewe Alexandra;3
Matt Gilks;Scotland;GK;65;38;Fleetwood Town;3
Paul Green;Republic of Ireland;CM;64;37;Crewe Alexandra;3
Rúben Fernandes;Portugal;LB|CB;71;34;Gil Vicente FC;3
Nicolas Penneteau;France;GK;73;39;Sporting Charleroi;3
Luke Steele;England;GK;67;35;Millwall;3
Jabo Ibehre;England;ST;58;37;Cambridge United;3
Glenn Morris;England;GK;64;36;Crawley Town;3
Raphaël Nuzzolo;Switzerland;ST|CF;74;37;Neuchâtel Xamax FCS;3
Ricardo Costa;Portugal;CB;74;39;Boavista FC;3
Quaresma;Portugal;RM|LM;79;36;Kasimpasa SK;3
Cristiano Ronaldo;Portugal;ST|LW;93;35;Juventus;3
Pepe Reina;Spain;GK;80;37;Aston Villa;3
Roque Santa Cruz;Paraguay;ST;74;38;Club Olimpia;3
Kyle Beckerman;United States;CDM|CM;70;38;Real Salt Lake;3
Zlatan Ibrahimovic;Sweden;ST;85;38;Milan;3
Joaquín;Spain;ST|RM|LM;80;39;Real Betis;3
Morten Gamst Pedersen;Norway;CM;68;38;Tromsø IL;3
Silvio Proto;Belgium;GK;75;37;Lazio;3
Fabricio Coloccini;Argentina;CB;74;38;San Lorenzo de Almagro;3
Allan McGregor;Scotland;GK;74;38;Rangers FC;3
Olivier Deschacht;Belgium;LB|CB;71;39;SV Zulte Waregem;3
Ludovic Butelle;France;GK;73;37;Angers SCO;3
Igor de Camargo;Belgium;ST;71;37;KV Mechelen;3
Jermain Defoe;England;ST;76;37;Rangers FC;3
Peter Clarke;England;CB;64;38;Tranmere Rovers;3
Don Cowie;Scotland;RM|CM;62;37;Ross County FC;3
Håkon Opdal;Norway;GK;65;38;SK Brann;3
Chris Brunt;Northern Ireland;CDM|CM;69;35;West Bromwich Albion;3
Eldin Jakupovic;Switzerland;GK;66;35;Leicester City;3
Mijat Maric;Switzerland;CB;67;36;FC Lugano;3
Joe Murphy;Republic of Ireland;GK;62;38;Shrewsbury;3
Emmanuel Adebayor;Togo;ST;74;36;Club Olimpia;3
Craig Gordon;Scotland;GK;71;37;Celtic;3
Dannie Bulman;England;CDM|CM;61;41;Crawley Town;3
Adam Collin;England;GK;62;35;Carlisle United;3
Jay Bothroyd;England;ST;67;38;Hokkaido Consadole Sapporo;3
Jobi McAnuff;Jamaica;RM|LM;62;38;Leyton Orient;3
Lee Camp;Northern Ireland;GK;67;35;Birmingham City;3
Lee Grant;England;GK;71;37;Manchester United;3
Lee Holmes;England;RM|LM;64;33;Exeter City;3
Lewis Price;Wales;GK;62;36;Rotherham United;3
Matt Bloomfield;England;CM;64;36;Wycombe Wanderers;3
Phil Jagielka;England;CB;74;37;Sheffield United;3
Sam Russell;England;GK;59;37;Grimsby Town;3
Stewart Downing;England;CDM|RM|LM;70;36;Blackburn Rovers;3
Tom Huddlestone;England;CDM;71;33;Derby County;3
Tommaso Berni;Italy;GK;64;37;Inter;3
Wayne Rooney;England;ST|CM|CAM;80;34;Derby County;3
Wayne Routledge;England;RM|LM;69;35;Swansea City;3
Michael Ratajczak;Germany;GK;63;38;Hannover 96;3
Daniel Haas;Germany;GK;62;36;FC Erzgebirge Aue;3
Simone Padoin;Italy;LB|LM|CM;70;36;Ascoli;3
Claudio Terzi;Italy;CB;69;36;La Spezia;3
Craig Woodman;England;LB|LWB|LW;62;37;Exeter City;3
Kyriakos Stamatopoulos;Canada;GK;57;40;AIK;3
Rune Almenning Jarstein;Norway;GK;81;35;Hertha BSC;3
Chris Burke;Scotland;RM|RW;69;36;Kilmarnock;3
Christian Grindheim;Norway;CM|CAM;67;37;FK Haugesund;3
Barry Roche;Republic of Ireland;GK;62;38;Morecambe;3
Michael Gurski;Germany;GK;59;41;SpVgg Unterhaching;3
Jean-François Gillet;Belgium;GK;68;41;Standard de Liège;3
Artur Boruc;Poland;GK;72;40;AFC Bournemouth;3
Gianluca Pegolo;Italy;GK;70;39;Sassuolo;3
Michael Langer;Austria;GK;65;35;FC Schalke 04;3
Yohann Pelé;France;GK;73;37;Olympique de Marseille;3
Reto Ziegler;Switzerland;LB|CB;70;34;FC Dallas;3
Stephan Lichtsteiner;Switzerland;RWB|RB|CB|RW;72;36;FC Augsburg;3
Pascal Grünwald;Austria;GK;63;37;WSG Swarovski Tirol;3
Bram Castro;Belgium;GK;68;37;KV Mechelen;3
Jonatan Soriano;Spain;ST;74;34;Girona FC;3
Maximiliano Rodríguez;Argentina;ST|LM|LW;74;39;Newell's Old Boys;3
Alan Mannus;Northern Ireland;GK;66;38;Shamrock Rovers;3
Cifuentes;Spain;GK;73;41;Cádiz CF;3
Moyá;Spain;GK;79;36;Real Sociedad;3
Xisco Campos;Spain;RB|CB;68;38;RCD Mallorca;3
Mario Álvarez;Spain;CB;74;38;Club Atlético de San Luis;3
Riesgo;Spain;GK;73;36;Girona FC;3
Luke McCormick;England;GK;60;36;Swindon Town;3
Liam Feeney;England;RWB|RM|RW;64;33;Blackpool;3
Renaud Cohade;France;CM;73;35;Football Club de Metz;3
Mauricio Pinilla;Chile;ST;72;36;Coquimbo Unido;3
Nino;Spain;ST|CAM|CF;70;40;Elche CF;3
Marco Wölfli;Switzerland;GK;66;37;BSC Young Boys;3
Diego Benaglio;Switzerland;GK;74;36;AS Monaco Football Club SA;3
Rubén Castro;Spain;ST;72;39;UD Las Palmas;3
Rod Fanni;France;CB;72;38;Impact Montréal;3
David Martin;England;GK;66;34;West Ham United;3
Ian Henderson;England;ST;67;35;Rochdale;3
Andy Lonergan;England;GK;65;36;Liverpool;3
Christoffer Källqvist;Sweden;GK;63;36;BK Häcken;3
Xavier Pinoteau;France;GK;61;37;FC Chambly Oise;3
Pier Graziano Gori;Italy;GK;62;40;Benevento;3
Michael Dawson;England;CB;70;36;Nottingham Forest;3
Pepe;Portugal;CB;82;37;FC Porto;3
Alexander Walke;Germany;GK;72;37;FC Red Bull Salzburg;3
Michael Rensing;Germany;GK;70;36;Fortuna Düsseldorf;3
Ronny König;Germany;ST;64;37;FSV Zwickau;3
Steven Whittaker;Scotland;RB|CM;63;36;Hibernian;3
Philipp Heerwagen;Germany;GK;63;37;SV Sandhausen;3
Arouna Koné;Ivory Coast;ST;72;36;Sivasspor;3
Michael Agazzi;Italy;GK;67;36;Cremona;3
Hugo Campagnaro;Argentina;CB;69;40;Pescara;3
Ali Turan;Turkey;CB;71;36;Konyaspor;3
Burak Yilmaz;Turkey;ST;79;35;Besiktas JK;3
Özgür Çek;Turkey;LB|LM;70;29;Denizlispor;3
Selçuk Inan;Turkey;CDM|CM;72;35;Galatasaray SK;3
Mehmet Topal;Turkey;CB|CDM;74;34;Medipol Basaksehir FK;3
Ersan Gülüm;Turkey;CB;65;33;Antalyaspor;3
Stephan Andersen;Denmark;GK;65;38;FC København;3
Hasan Ali Kaldirim;Turkey;LB;74;30;Fenerbahçe SK;3
Umut Bulut;Turkey;ST|LM;69;37;Yeni Malatyaspor;3
Abdullah Durak;Turkey;CDM;66;33;Çaykur Rizespor;3
Ufuk Ceylan;Turkey;GK;66;34;Yeni Malatyaspor;3
