name;nationality;position;overall;age;real_team;device
Iniesta;Spain;LM|CM|CAM;82;36;Vissel Kobe;1
Emre Belözoglu;Turkey;CDM|CM;77;39;Fenerbahçe SK;1
Felipe;Brazil;CB;72;35;SPAL;1
Gianluigi Buffon;Italy;GK;83;42;Juventus;1
Maarten Stekelenburg;Netherlands;GK;72;37;Everton;1
Aaron Wilbraham;England;ST;61;40;Rochdale;1
Kevin Ellison;England;ST|LM;58;41;Morecambe;1
Tarantini;Portugal;CDM|CM;73;36;Rio Ave FC;1
Yuri;Brazil;ST;71;37;SD Ponferradina;1
Gareth Barry;England;CDM|CM;70;39;West Bromwich Albion;1
Chris Porter;England;ST;63;36;Crewe Alexandra;1
Matt Gilks;Scotland;GK;65;38;Fleetwood Town;1
Paul Green;Republic of Ireland;CM;64;37;Crewe Alexandra;1
Rúben Fernandes;Portugal;LB|CB;71;34;Gil Vicente FC;1
Nicolas Penneteau;France;GK;73;39;Sporting Charleroi;1
Luke Steele;England;GK;67;35;Millwall;1
Jabo Ibehre;England;ST;58;37;Cambridge United;1
Glenn Morris;England;GK;64;36;Crawley Town;1
Raphaël Nuzzolo;Switzerland;ST|CF;74;37;Neuchâtel Xamax FCS;1
Ricardo Costa;Portugal;CB;74;39;Boavista FC;1
Quaresma;Portugal;RM|LM;79;36;Kasimpasa SK;1
Cristiano Ronaldo;Portugal;ST|LW;93;35;Juventus;1
Pepe Reina;Spain;GK;80;37;Aston Villa;1
Roque Santa Cruz;Paraguay;ST;74;38;Club Olimpia;1
Kyle Beckerman;United States;CDM|CM;70;38;Real Salt Lake;1
Zlatan Ibrahimovic;Sweden;ST;85;38;Milan;1
Joaquín;Spain;ST|RM|LM;80;39;Real Betis;1
Morten Gamst Pedersen;Norway;CM;68;38;Tromsø IL;1
Silvio Proto;Belgium;GK;75;37;Lazio;1
Fabricio Coloccini;Argentina;CB;74;38;San Lorenzo de Almagro;1
Allan McGregor;Scotland;GK;74;38;Rangers FC;1
Olivier Deschacht;Belgium;LB|CB;71;39;SV Zulte Waregem;1
Ludovic Butelle;France;GK;73;37;Angers SCO;1
Igor de Camargo;Belgium;ST;71;37;KV Mechelen;1
Jermain Defoe;England;ST;76;37;Rangers FC;1
Peter Clarke;England;CB;64;38;Tranmere Rovers;1
Don Cowie;Scotland;RM|CM;62;37;Ross County FC;1
Håkon Opdal;Norway;GK;65;38;SK Brann;1
Chris Brunt;Northern Ireland;CDM|CM;69;35;West Bromwich Albion;1
Eldin Jakupovic;Switzerland;GK;66;35;Leicester City;1
Mijat Maric;Switzerland;CB;67;36;FC Lugano;1
Joe Murphy;Republic of Ireland;GK;62;38;Shrewsbury;1
Emmanuel Adebayor;Togo;ST;74;36;Club Olimpia;1
Craig Gordon;Scotland;GK;71;37;Celtic;1
Dannie Bulman;England;CDM|CM;61;41;Crawley Town;1
Adam Collin;England;GK;62;35;Carlisle United;1
Jay Bothroyd;England;ST;67;38;Hokkaido Consadole Sapporo;1
Jobi McAnuff;Jamaica;RM|LM;62;38;Leyton Orient;1
Lee Camp;Northern Ireland;GK;67;35;Birmingham City;1
Lee Grant;England;GK;71;37;Manchester United;1
Lee Holmes;England;RM|LM;64;33;Exeter City;1
Lewis Price;Wales;GK;62;36;Rotherham United;1
Matt Bloomfield;England;CM;64;36;Wycombe Wanderers;1
Phil Jagielka;England;CB;74;37;Sheffield United;1
Sam Russell;England;GK;59;37;Grimsby Town;1
Stewart Downing;England;CDM|RM|LM;70;36;Blackburn Rovers;1
Tom Huddlestone;England;CDM;71;33;Derby County;1
Tommaso Berni;Italy;GK;64;37;Inter;1
Wayne Rooney;England;ST|CM|CAM;80;34;Derby County;1
Wayne Routledge;England;RM|LM;69;35;Swansea City;1
Michael Ratajczak;Germany;GK;63;38;Hannover 96;1
Daniel Haas;Germany;GK;62;36;FC Erzgebirge Aue;1
Simone Padoin;Italy;LB|LM|CM;70;36;Ascoli;1
Claudio Terzi;Italy;CB;69;36;La Spezia;1
Craig Woodman;England;LB|LWB|LW;62;37;Exeter City;1
Kyriakos Stamatopoulos;Canada;GK;57;40;AIK;1
Rune Almenning Jarstein;Norway;GK;81;35;Hertha BSC;1
Chris Burke;Scotland;RM|RW;69;36;Kilmarnock;1
Christian Grindheim;Norway;CM|CAM;67;37;FK Haugesund;1
Barry Roche;Republic of Ireland;GK;62;38;Morecambe;1
Michael Gurski;Germany;GK;59;41;SpVgg Unterhaching;1
Jean-François Gillet;Belgium;GK;68;41;Standard de Liège;1
Artur Boruc;Poland;GK;72;40;AFC Bournemouth;1
Gianluca Pegolo;Italy;GK;70;39;Sassuolo;1
Michael Langer;Austria;GK;65;35;FC Schalke 04;1
Yohann Pelé;France;GK;73;37;Olympique de Marseille;1
